Docker-yuvalsnir@ef.technion.ac.il@visl-184u:/data/yuvalsnir@ef.technion.ac.il$ python baseline2.py
classes with at least N samples: 890
train_df (235709, 2)
test_df (117577, 3)
found classes 890
Loaded pretrained weights for efficientnet-b0
Docker-yuvalsnir@ef.technion.ac.il@visl-184u:/data/yuvalsnir@ef.technion.ac.il$ python baseline2.py
classes with at least N samples: 890
train_df (235709, 2)
test_df (117577, 3)
found classes 890
Loaded pretrained weights for efficientnet-b0
--------------------------------------------------
epoch 0
total batches: 3682

epoch    batch             time    (avg time)        loss   (avg loss)    GAP score   (avg score)
---------------------------------------------------------------------------------------------------------
0     |  [0/3682]       || 0.638 | (0.638)      || 6.7609 | (6.7609)    || 0.0000   |   (0.0000)        ||
0     |  [10/3682]      || 0.054 | (0.149)      || 6.7710 | (6.7354)    || 0.0000   |   (0.0003)        ||
0     |  [20/3682]      || 0.245 | (0.135)      || 6.8263 | (6.7654)    || 0.0000   |   (0.0002)        ||
0     |  [30/3682]      || 0.054 | (0.122)      || 6.8083 | (6.7890)    || 0.0000   |   (0.0002)        ||
0     |  [40/3682]      || 0.264 | (0.121)      || 6.8663 | (6.7844)    || 0.0000   |   (0.0002)        ||
0     |  [50/3682]      || 0.054 | (0.117)      || 6.8320 | (6.7958)    || 0.0000   |   (0.0002)        ||
0     |  [60/3682]      || 0.265 | (0.117)      || 6.7285 | (6.7967)    || 0.0004   |   (0.0002)        ||
0     |  [70/3682]      || 0.055 | (0.115)      || 6.7546 | (6.7975)    || 0.0003   |   (0.0003)        ||
0     |  [80/3682]      || 0.321 | (0.116)      || 6.7817 | (6.7976)    || 0.0003   |   (0.0002)        ||
0     |  [90/3682]      || 0.055 | (0.114)      || 6.7594 | (6.7955)    || 0.0003   |   (0.0002)        ||
0     |  [100/3682]     || 0.283 | (0.115)      || 6.7464 | (6.7914)    || 0.0000   |   (0.0002)        ||
0     |  [110/3682]     || 0.054 | (0.114)      || 6.7852 | (6.7876)    || 0.0000   |   (0.0002)        ||
0     |  [120/3682]     || 0.296 | (0.115)      || 6.8627 | (6.7852)    || 0.0000   |   (0.0002)        ||
0     |  [130/3682]     || 0.054 | (0.113)      || 6.7789 | (6.7909)    || 0.0000   |   (0.0002)        ||
0     |  [140/3682]     || 0.253 | (0.113)      || 6.7662 | (6.7924)    || 0.0000   |   (0.0002)        ||
0     |  [150/3682]     || 0.055 | (0.113)      || 6.6330 | (6.7887)    || 0.0000   |   (0.0001)        ||
0     |  [160/3682]     || 0.272 | (0.113)      || 6.8252 | (6.7599)    || 0.0000   |   (0.0015)        ||
0     |  [170/3682]     || 0.054 | (0.113)      || 6.8522 | (6.7604)    || 0.0000   |   (0.0014)        ||
0     |  [180/3682]     || 0.288 | (0.113)      || 6.0581 | (6.7429)    || 0.0000   |   (0.0013)        ||
0     |  [190/3682]     || 0.054 | (0.113)      || 6.7627 | (6.7415)    || 0.0000   |   (0.0012)        ||
0     |  [200/3682]     || 0.293 | (0.113)      || 6.8044 | (6.7453)    || 0.0000   |   (0.0012)        ||
0     |  [210/3682]     || 0.054 | (0.112)      || 6.7764 | (6.7462)    || 0.0000   |   (0.0011)        ||
0     |  [220/3682]     || 0.240 | (0.112)      || 6.7762 | (6.7464)    || 0.0000   |   (0.0011)        ||
0     |  [230/3682]     || 0.054 | (0.112)      || 6.5930 | (6.7494)    || 0.0000   |   (0.0010)        ||
0     |  [240/3682]     || 0.275 | (0.112)      || 6.7929 | (6.7295)    || 0.0000   |   (0.0010)        ||
0     |  [250/3682]     || 0.055 | (0.112)      || 6.4577 | (6.7301)    || 0.0000   |   (0.0009)        ||
0     |  [260/3682]     || 0.286 | (0.112)      || 6.8737 | (6.7341)    || 0.0000   |   (0.0009)        ||
0     |  [270/3682]     || 0.055 | (0.112)      || 6.9632 | (6.7377)    || 0.0000   |   (0.0009)        ||
0     |  [280/3682]     || 0.256 | (0.112)      || 6.9005 | (6.7420)    || 0.0000   |   (0.0008)        ||
0     |  [290/3682]     || 0.054 | (0.112)      || 6.9528 | (6.7477)    || 0.0000   |   (0.0008)        ||
0     |  [300/3682]     || 0.268 | (0.112)      || 6.4562 | (6.7492)    || 0.0000   |   (0.0008)        ||
0     |  [310/3682]     || 0.054 | (0.112)      || 6.9170 | (6.7486)    || 0.0000   |   (0.0008)        ||
0     |  [320/3682]     || 0.291 | (0.112)      || 6.4186 | (6.7479)    || 0.0000   |   (0.0007)        ||
